Response ID,Real image ID,Synthetic Image ID,Real Image Response,Syn image response,Date
1,39,163,real,real,2020-01-02T20:12:48.014325
2,87,173,real,real,2020-01-02T20:12:48.014325
3,44,164,real,real,2020-01-02T20:12:48.014325
4,30,134,synthetic,real,2020-01-02T20:12:48.014325
5,31,134,real,synthetic,2020-01-02T20:12:48.014325
6,47,161,real,synthetic,2020-01-02T20:12:48.014325
7,50,240,real,real,2020-01-02T20:12:48.014325
8,76,215,real,real,2020-01-02T20:12:48.014325
9,119,233,synthetic,real,2020-01-02T20:12:48.014325
10,105,121,synthetic,synthetic,2020-01-02T20:12:48.014325
11,41,184,synthetic,real,2020-01-02T20:12:48.014325
12,42,158,synthetic,real,2020-01-02T20:12:48.014325
13,80,248,real,synthetic,2020-01-02T20:12:48.014325
14,106,163,synthetic,real,2020-01-02T20:12:48.014325
15,59,233,synthetic,synthetic,2020-01-02T20:12:48.014325
16,65,246,real,synthetic,2020-01-02T20:12:48.014325
17,41,170,real,real,2020-01-02T20:12:48.014325
18,42,204,synthetic,real,2020-01-02T20:12:48.014325
19,15,244,real,real,2020-01-02T20:12:48.014325
20,46,195,real,synthetic,2020-01-02T20:12:48.014325
21,103,144,synthetic,real,2020-01-02T20:12:48.014325
22,55,145,real,real,2020-01-02T20:12:48.014325
23,104,232,real,synthetic,2020-01-02T20:12:48.014325
24,114,177,synthetic,synthetic,2020-01-02T20:12:48.014325
25,39,233,real,real,2020-01-02T20:12:48.014325
26,59,159,real,real,2020-01-02T20:12:48.014325
27,12,145,real,real,2020-01-02T20:12:48.014325
28,2,227,real,synthetic,2020-01-02T20:12:48.014325
29,36,184,synthetic,real,2020-01-02T20:12:48.014325
30,49,231,synthetic,synthetic,2020-01-02T20:12:48.014325
31,17,207,real,synthetic,2020-01-02T20:12:48.014325
32,97,183,real,synthetic,2020-01-02T20:12:48.014325
33,103,152,real,synthetic,2020-01-02T20:12:48.014325
34,41,153,synthetic,real,2020-01-02T20:12:48.014325
35,28,230,synthetic,real,2020-01-02T20:12:48.014325
36,113,202,synthetic,real,2020-01-02T20:12:48.014325
37,56,220,synthetic,real,2020-01-02T20:12:48.014325
38,22,244,synthetic,synthetic,2020-01-02T20:12:48.014325
39,100,210,synthetic,synthetic,2020-01-02T20:12:48.014325
40,85,200,real,real,2020-01-02T20:12:48.014325
41,39,238,real,synthetic,2020-01-02T20:12:48.014325
42,21,172,real,synthetic,2020-01-02T20:12:48.014325
43,61,197,synthetic,synthetic,2020-01-02T20:12:48.014325
44,3,165,real,synthetic,2020-01-02T20:12:48.014325
45,45,240,real,real,2020-01-02T20:12:48.014325
46,75,186,synthetic,real,2020-01-02T20:12:48.014325
47,2,131,synthetic,synthetic,2020-01-02T20:12:48.014325
48,97,235,synthetic,real,2020-01-02T20:12:48.014325
49,114,203,synthetic,synthetic,2020-01-02T20:12:48.014325
50,65,221,synthetic,synthetic,2020-01-02T20:12:48.014325
51,33,199,synthetic,real,2020-01-02T20:12:48.014325
52,54,209,synthetic,real,2020-01-02T20:12:48.014325
53,20,236,real,real,2020-01-02T20:12:48.014325
54,6,124,real,synthetic,2020-01-02T20:12:48.014325
55,77,157,real,synthetic,2020-01-02T20:12:48.014325
56,62,141,real,real,2020-01-02T20:12:48.014325
57,27,196,synthetic,real,2020-01-02T20:12:48.014325
58,76,176,synthetic,real,2020-01-02T20:12:48.014325
59,46,199,synthetic,real,2020-01-02T20:12:48.014325
60,54,161,real,real,2020-01-02T20:12:48.014325
61,71,169,real,real,2020-01-02T20:12:48.014325
62,45,167,real,real,2020-01-02T20:12:48.014325
63,76,244,synthetic,real,2020-01-02T20:12:48.014325
64,37,132,synthetic,synthetic,2020-01-02T20:12:48.014325
65,74,221,synthetic,real,2020-01-02T20:12:48.014325
66,56,231,real,synthetic,2020-01-02T20:12:48.014325
67,113,156,real,synthetic,2020-01-02T20:12:48.014325
68,63,151,real,synthetic,2020-01-02T20:12:48.014325
69,106,221,synthetic,real,2020-01-02T20:12:48.014325
70,45,216,real,synthetic,2020-01-02T20:12:48.014325
71,22,159,synthetic,synthetic,2020-01-02T20:12:48.014325
72,37,146,synthetic,real,2020-01-02T20:12:48.014325
73,35,146,real,synthetic,2020-01-02T20:12:48.014325
74,38,154,real,synthetic,2020-01-02T20:12:48.014325
75,102,242,synthetic,synthetic,2020-01-02T20:12:48.014325
76,10,199,real,synthetic,2020-01-02T20:12:48.014325
77,79,247,synthetic,synthetic,2020-01-02T20:12:48.014325
78,15,239,real,synthetic,2020-01-02T20:12:48.014325
79,20,202,synthetic,real,2020-01-02T20:12:48.014325
80,111,171,real,real,2020-01-02T20:12:48.014325
81,10,135,synthetic,real,2020-01-02T20:12:48.014325
82,43,154,synthetic,synthetic,2020-01-02T20:12:48.014325
83,30,152,synthetic,real,2020-01-02T20:12:48.014325
84,69,193,synthetic,real,2020-01-02T20:12:48.014325
